featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
91a5e40abb65efa92474a806860e189a	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6441	0	0	0	0	0	0	0	0	0	0	0
923fc8fd691d2de3dd2700d136cf3e22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2721	0	3192	0	0	0	0	0	0	0
9305214eaa7c4a79f9455be7aa00047f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320	0	0	0	0
9338c4bb53548098d0930c085301c283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
93bb2bf6c3918baa522bcd668b3d5573	0	0	0	0	0	0	0	0	0	22107	12088	0	6672	2309	14121	2915	18420	7469	6500	0	1002	1057	3733	0	0	0	15093	2975	0
94a56ceddd4fa4b43e346fe268075278	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94c9549b503d074ca52d17868303bb47	0	0	0	0	0	0	0	8	0	9898	0	0	0	1581	0	6272	3	0	0	0	0	0	527	0	0	4	0	0	0
94feba789abfcd9ac8158e77b7f4bef8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95ced5688cc1d77e2c7689904ff8a538	0	0	0	0	0	0	0	0	0	0	11310	0	0	0	3424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
962f3ed7650045fd912d010fa87c14bf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
967601f38cbbaa6ec2fdbb47a1bedb76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0
96e6eeb0b0898aba8cfe7378c1f05a16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0
970eced573d0e7c1c716dfd084aeb9bf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
987ba75c9a982889bffef2be8562600c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0
99d918d2b66a9418e50eeed3572f4f47	0	0	0	0	0	0	0	3575	0	0	0	0	0	0	0	5306	0	0	0	0	1592	0	0	4	0	0	0	0	0
99e53b02029b9abd33292f0a233e4fef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2653	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9be0ab5cc11f481a7feb4c2bbf338cb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
